edad,grado,promedio_matematica,promedio_comunicacion,promedio_ciencias,promedio_general,num_cursos_desaprobados,porcentaje_asistencia,num_tardanzas,num_inasistencias_injustificadas,tendencia_notas,participacion_clase,entrega_tareas,repitio_grado,horas_estudio_semanal,target,genero,estructura_familiar,num_hermanos,nivel_socioeconomico,nivel_educativo_padres,trabaja_estudiante,horas_trabajo_semanal,acceso_internet_hogar,distancia_colegio_km,nivel_autoestima,nivel_ansiedad,nivel_motivacion_escolar,apoyo_familiar_percibido,eventos_estresantes_recientes,relacion_con_companeros,horas_sueño_diarias,consumo_sustancias,participa_actividades_extracurriculares,atencion_psicologica_previa
13.0,2,16.6,14.37,15.25,15.37,0,92.5,5,6,1,0,90.5,0,9.7,1,0,0,0,2,1,0,20.8,1,1.44,2.0,3,4,3,0,0,7.5,0,0,0
16.0,5,11.83,10.71,13.04,11.87,3,79.8,5,3,0,1,53.7,0,7.9,0,0,3,1,2,1,0,20.8,0,1.31,3.0,2,2,4,0,0,7.0,0,0,0
13.0,1,17.93,14.97,14.75,15.83,0,77.0,3,2,2,1,91.3,0,12.3,1,1,3,4,2,1,0,20.8,1,1.86,2.0,2,5,5,0,1,6.9,0,1,0
16.0,5,9.95,3.58,6.24,6.0,6,70.0,8,12,1,1,39.2,0,0.0,2,1,0,0,1,0,1,20.5,1,0.27,1.0,5,2,3,1,2,6.6,0,1,1
13.0,2,9.84,8.17,13.65,10.57,3,76.4,4,7,2,0,55.4,0,3.8,2,1,3,4,3,1,0,20.8,0,1.8,3.0,3,4,3,0,2,6.1,0,0,0
16.0,4,17.86,12.94,20.0,17.13,1,91.1,1,0,1,2,69.6,0,12.3,0,1,2,1,4,0,0,20.8,1,1.22,3.0,3,2,3,0,0,7.0,0,0,0
14.0,3,10.91,12.89,9.41,11.32,1,81.9,3,6,0,1,56.3,0,7.9,1,1,3,0,1,3,1,20.8,1,0.55,3.0,4,2,1,0,2,5.4,0,1,1
15.0,4,10.55,8.19,6.85,8.74,2,75.6,6,7,0,1,74.0,0,10.3,1,0,3,2,3,4,0,20.8,0,55.56,4.0,4,2,2,0,2,4.7,0,0,0
14.0,2,15.49,13.06,17.69,14.69,2,70.3,2,2,2,0,65.0,1,8.6,0,1,0,1,3,3,0,20.8,0,1.12,3.0,5,2,3,1,0,6.9,0,0,0
17.0,5,16.41,14.46,15.89,16.72,0,85.2,1,0,2,0,79.9,0,7.1,0,0,3,0,2,3,0,20.8,1,1.44,3.0,4,4,4,0,0,8.1,0,0,0
16.0,4,6.86,15.61,9.0,10.15,3,67.0,8,4,1,0,54.1,1,8.4,1,0,0,1,4,3,0,20.8,0,3.6,3.0,2,3,5,1,0,5.4,0,1,0
15.0,3,14.32,11.0,13.38,12.74,2,75.1,5,4,2,0,67.2,0,10.3,1,1,0,4,4,3,0,20.8,0,5.17,1.0,3,1,2,0,0,7.4,0,0,0
17.0,5,14.41,13.72,17.58,14.45,1,89.0,7,2,2,0,79.7,0,7.1,0,1,0,1,2,3,0,20.8,0,0.82,4.0,3,4,5,0,2,5.9,0,1,0
13.0,1,7.7,9.89,4.76,7.28,2,72.8,9,10,0,1,59.8,0,8.1,2,1,0,3,3,3,1,31.4,0,1.51,1.0,4,1,3,0,2,5.6,1,0,0
13.0,1,20.0,20.0,19.83,20.0,0,93.1,4,0,2,0,93.8,0,15.8,0,0,0,0,2,4,1,14.6,1,2.42,5.0,1,4,5,0,2,8.5,0,1,0
13.0,2,8.56,13.58,11.34,10.98,5,78.3,8,5,2,1,81.7,0,1.0,2,1,3,2,3,0,1,20.2,1,5.58,3.0,4,3,4,1,1,4.3,0,1,1
17.0,5,17.82,13.78,12.42,14.94,2,85.4,5,4,2,0,74.9,0,7.8,1,1,3,3,2,3,0,20.8,1,0.3,3.0,3,4,2,0,2,6.4,0,0,0
14.0,3,17.07,18.98,12.63,16.66,1,77.4,3,3,2,2,88.8,0,12.7,0,1,3,3,3,0,0,20.8,0,0.17,4.0,3,3,5,0,1,6.7,0,0,0
17.0,5,10.9,7.78,11.53,9.28,3,71.2,8,7,0,1,60.2,0,9.6,1,1,0,2,3,1,0,20.8,0,2.22,2.0,3,1,4,1,1,5.3,0,0,1
12.0,1,9.58,9.22,11.64,9.73,3,83.3,3,4,0,2,61.0,0,9.0,1,0,0,0,3,0,0,20.8,0,1.13,4.0,3,2,3,0,2,6.1,0,0,0
17.0,5,8.86,10.96,7.58,8.76,1,63.5,5,9,1,1,43.9,0,1.2,1,1,3,1,3,1,0,20.8,1,2.34,4.0,3,1,2,1,3,7.0,0,0,0
16.0,5,16.14,17.93,18.09,16.78,0,75.0,3,3,2,0,87.2,0,14.5,0,1,3,1,2,2,0,20.8,1,0.13,3.0,3,5,5,0,0,7.0,0,0,0
16.0,4,14.73,9.71,14.68,13.53,3,72.1,6,6,0,2,80.0,0,3.7,1,2,3,1,4,1,0,20.8,1,1.58,5.0,2,3,3,1,2,6.1,0,0,0
15.0,3,12.86,7.42,7.82,10.01,5,73.5,6,7,0,1,54.8,0,1.1,1,0,1,1,1,1,1,19.4,0,15.54,3.0,3,3,2,0,1,6.5,0,0,0
14.0,2,11.33,11.62,9.32,10.91,8,55.1,5,12,1,2,69.6,0,3.4,1,0,0,0,2,1,0,20.8,1,3.75,2.0,3,3,2,1,1,7.7,0,1,1
12.0,1,9.61,9.13,10.54,9.83,3,75.2,4,4,0,0,61.4,0,13.0,1,1,3,2,2,1,0,20.8,0,6.88,2.0,3,2,4,0,1,6.5,0,0,1
14.0,2,13.31,17.99,14.81,16.14,3,89.2,6,1,0,1,57.8,1,8.2,0,0,0,5,3,0,0,20.8,1,1.17,2.0,5,4,5,0,2,6.8,0,1,0
14.0,3,13.58,14.98,10.11,13.57,0,78.2,7,2,0,2,83.4,0,12.7,0,0,3,1,4,3,0,20.8,1,0.19,3.0,3,3,3,0,0,6.9,0,1,0
13.0,2,12.83,12.34,14.22,13.3,1,100.0,2,6,2,2,92.5,0,3.6,0,1,3,3,0,1,0,20.8,1,1.86,3.0,1,3,5,0,2,7.4,1,0,0
17.0,5,10.0,12.19,12.53,11.77,3,85.6,8,6,1,2,92.9,0,6.8,1,1,0,1,4,1,0,20.8,1,0.14,3.0,3,2,2,0,1,6.8,0,0,0
13.0,2,16.63,16.87,15.4,16.68,1,93.5,2,1,2,0,94.0,0,10.8,0,0,0,3,2,0,1,18.9,1,0.41,3.0,3,4,4,0,0,6.5,0,0,1
15.0,4,6.54,4.24,10.89,7.56,2,58.4,8,12,0,1,49.1,0,8.9,2,1,0,2,1,1,0,20.8,1,3.05,3.0,4,2,2,1,2,5.7,0,1,0
15.0,4,9.54,8.52,4.08,7.55,4,78.7,8,6,0,1,75.7,0,3.7,1,1,0,0,3,0,0,20.8,0,4.28,2.0,5,3,3,1,2,5.4,1,1,0
13.0,1,10.8,10.42,8.94,9.7,1,78.7,6,7,0,1,68.2,1,7.7,1,0,3,0,1,0,0,20.8,1,0.3,3.0,3,2,3,1,1,4.6,0,0,1
12.0,1,16.71,17.99,15.85,16.62,0,90.7,2,1,2,0,69.6,0,10.4,0,0,0,1,0,4,0,20.8,1,0.94,4.0,2,3,4,0,0,8.6,0,0,0
15.0,3,7.35,7.98,8.63,8.28,2,78.8,7,4,0,1,28.2,0,11.2,2,1,0,1,1,2,0,20.8,1,0.35,1.0,4,1,2,1,2,4.0,0,0,1
15.0,3,10.14,17.22,14.26,14.27,3,72.6,8,7,1,0,83.7,0,8.1,0,0,0,0,2,3,0,20.8,0,0.8,4.0,4,2,4,0,2,6.3,0,0,1
16.0,5,6.13,4.88,6.89,5.72,3,55.8,7,13,1,1,13.7,1,6.1,2,1,3,0,1,2,1,26.5,0,5.31,2.0,4,3,2,0,2,5.8,0,0,0
14.0,3,7.99,10.95,8.45,8.68,0,87.1,7,4,2,2,84.3,0,8.6,1,0,0,1,3,2,0,20.8,1,1.21,4.0,3,3,3,1,2,7.5,0,0,0
16.0,4,9.76,10.68,9.39,9.71,5,69.0,4,3,1,2,55.5,0,10.4,1,0,0,2,2,1,0,20.8,0,6.0,3.0,4,3,2,1,1,6.9,0,0,0
15.0,3,12.11,14.73,13.66,12.84,1,81.5,1,3,1,2,94.8,0,11.7,0,0,3,1,0,3,1,16.1,1,1.94,5.0,4,4,3,1,0,6.1,0,0,0
13.0,1,10.32,10.59,14.7,11.8,2,77.7,4,6,1,1,52.2,0,0.0,1,1,0,4,3,3,0,20.8,0,1.6,2.0,3,2,3,0,2,6.8,0,1,0
14.0,2,5.06,11.07,10.02,9.58,2,80.8,9,12,0,2,45.4,0,2.8,2,1,0,1,1,1,0,20.8,1,1.5,3.0,2,1,2,0,1,6.4,0,0,1
16.0,5,5.3,9.52,12.46,9.66,4,63.6,7,11,1,1,27.8,0,3.1,1,0,3,2,1,1,0,20.8,1,4.74,3.0,5,2,2,1,2,5.9,0,1,0
14.0,2,10.86,11.9,8.59,11.03,1,75.0,5,9,0,1,69.6,0,5.1,1,0,3,2,3,0,1,23.3,0,6.24,3.0,4,2,3,0,2,6.1,0,0,1
13.0,2,15.68,20.0,17.94,18.54,1,86.5,0,2,2,2,84.3,0,14.6,0,1,0,2,2,1,0,20.8,1,1.56,3.0,2,4,5,0,0,6.9,0,0,0
12.0,1,15.11,12.19,14.38,15.02,1,85.7,2,2,3,2,86.8,0,4.1,0,1,0,1,2,1,0,20.8,1,0.3,4.0,3,3,5,0,0,6.4,0,0,0
14.0,3,12.65,13.88,17.49,14.24,0,85.7,6,2,1,2,38.6,0,13.7,0,0,3,1,2,0,1,20.9,1,3.64,3.0,2,4,4,0,0,5.9,0,0,0
13.0,2,8.89,5.96,8.96,8.59,8,62.3,10,9,1,1,44.2,1,11.6,2,1,3,1,1,0,0,20.8,0,0.21,3.0,4,1,3,1,1,6.3,1,0,0
12.0,1,8.65,9.58,7.87,9.43,4,56.8,11,8,1,1,48.5,0,8.1,2,1,0,1,3,1,1,21.6,0,3.46,3.0,5,2,1,0,2,6.2,0,0,0
14.0,2,12.43,11.93,12.49,11.81,2,63.9,3,2,2,2,68.6,1,10.2,1,2,3,0,3,3,0,20.8,1,2.41,3.0,2,1,3,1,2,6.4,0,0,1
13.0,1,19.34,19.84,20.0,19.87,0,100.0,2,0,1,0,100.0,0,12.6,0,1,1,2,0,3,0,20.8,0,0.51,3.0,1,5,4,0,0,6.2,0,0,0
14.0,3,14.98,7.48,13.92,13.61,5,112.7,8,7,3,2,56.2,0,5.4,2,0,3,1,4,3,0,20.8,1,2.83,4.0,3,3,2,1,0,6.7,0,0,0
16.0,4,11.24,10.06,16.44,12.66,1,81.7,1,1,1,1,94.0,0,8.5,1,0,0,2,3,3,0,20.8,1,0.93,4.0,2,3,2,1,3,6.6,0,0,0
15.0,3,19.38,17.16,20.0,19.25,0,100.0,3,4,2,0,85.3,0,9.8,0,1,0,1,2,3,0,20.8,1,0.1,4.0,2,3,4,0,0,5.2,0,1,1
17.0,5,15.51,20.0,12.41,14.98,3,72.6,2,4,2,0,95.1,0,13.4,0,0,3,2,2,0,0,20.8,0,0.78,3.0,1,3,3,1,2,5.9,0,0,0
12.0,1,16.44,11.76,12.98,13.89,4,56.6,7,7,0,1,46.1,0,7.0,1,0,3,1,3,3,0,20.8,0,7.58,3.0,4,2,3,1,1,5.7,0,1,1
15.0,3,9.56,9.2,11.34,10.11,3,58.2,7,3,0,2,60.4,0,6.6,1,1,3,3,3,3,0,20.8,1,3.01,3.0,4,3,3,1,0,6.9,1,1,0
13.0,1,15.5,20.0,18.55,18.27,0,78.7,2,1,2,0,100.0,0,7.3,0,0,3,1,0,1,1,17.2,1,2.35,3.0,2,3,4,0,2,7.5,0,0,0
16.0,4,9.79,11.85,12.17,10.91,6,66.2,4,5,1,1,87.3,1,8.4,2,0,0,0,1,3,1,12.7,1,1.46,3.0,4,3,3,0,1,5.7,0,0,0
13.0,1,8.03,7.33,3.11,5.93,1,63.1,8,11,0,1,26.1,0,0.0,1,0,1,3,1,1,0,20.8,1,2.23,2.0,3,3,2,0,1,6.6,0,0,1
14.0,3,20.0,20.0,14.54,17.66,0,91.8,0,0,2,0,83.4,0,10.6,0,0,0,1,2,1,0,20.8,1,0.45,3.0,2,5,5,0,0,6.6,0,1,0
14.0,3,19.98,18.93,19.43,19.38,0,87.6,1,0,2,0,100.0,0,10.3,0,1,3,2,4,1,0,20.8,1,1.47,3.0,2,4,4,0,0,8.7,0,0,0
13.0,2,15.92,16.3,15.84,15.61,2,73.8,5,4,0,1,83.1,0,10.6,1,0,3,3,3,1,0,20.8,1,0.9,3.0,3,4,4,1,2,5.5,0,0,0
15.0,3,5.19,16.55,10.47,10.95,1,75.8,6,5,1,2,45.7,0,15.1,1,0,0,2,2,1,0,20.8,0,3.35,4.0,3,3,3,0,0,6.3,0,1,0
16.0,4,13.41,8.94,9.61,11.65,1,72.9,4,11,1,1,57.1,0,13.2,1,1,0,3,3,1,0,20.8,1,6.45,3.0,3,2,4,1,2,7.3,0,1,1
16.0,4,5.75,14.13,12.49,10.55,3,73.2,5,3,1,1,38.5,0,7.0,1,0,0,0,1,3,0,20.8,0,7.51,2.0,3,2,4,0,1,4.0,0,0,0
15.0,3,17.92,14.95,16.86,16.08,1,72.6,0,2,2,0,85.7,0,10.6,0,1,0,1,0,3,0,20.8,1,0.46,3.0,1,3,5,0,0,4.9,0,0,0
13.0,2,16.44,13.14,14.35,14.87,0,78.1,4,3,1,2,69.6,0,7.2,1,1,0,3,2,0,0,20.8,1,3.26,4.0,2,4,3,1,2,7.0,0,0,1
14.0,2,16.93,15.33,17.2,16.5,0,100.0,1,0,2,2,88.1,0,8.1,0,1,0,0,0,0,0,20.8,1,1.47,3.0,2,4,5,0,0,7.5,0,0,0
13.0,1,5.65,5.58,11.33,6.87,4,72.4,4,7,1,1,75.8,0,14.1,1,0,0,2,1,3,1,21.4,1,1.53,4.0,3,2,3,0,2,7.5,0,0,0
16.0,4,16.58,17.24,19.46,18.0,1,90.9,3,1,2,0,91.4,0,16.1,0,0,3,3,0,0,0,20.8,1,5.14,3.0,3,3,5,0,0,7.5,1,0,0
14.0,3,9.51,5.74,9.05,8.82,6,54.3,8,14,0,1,72.5,0,12.2,2,1,3,1,1,0,0,20.8,0,0.44,2.0,5,2,2,1,1,6.2,0,0,1
15.0,4,11.13,11.21,12.24,11.66,3,79.1,7,2,0,2,74.4,0,7.6,1,1,3,0,2,4,0,20.8,1,0.3,5.0,2,3,4,0,0,7.6,0,0,0
13.0,2,15.98,14.83,17.01,15.85,0,82.2,4,5,2,1,60.5,1,14.7,0,1,0,3,3,3,1,22.9,0,0.32,2.0,2,5,2,0,0,7.5,0,0,0
17.0,5,10.97,7.29,12.77,10.12,2,70.3,4,8,1,1,76.0,0,2.6,1,0,3,1,3,3,0,20.8,1,1.89,3.0,3,3,3,0,0,7.3,0,0,0
13.0,2,9.96,9.33,9.63,9.61,5,73.1,8,2,0,1,63.6,1,8.1,1,1,0,0,1,0,0,20.8,1,1.91,3.0,3,5,3,0,1,5.7,0,0,1
14.0,3,11.02,10.53,6.26,9.23,3,74.2,5,5,1,0,74.1,0,5.7,1,1,3,0,2,1,0,20.8,1,1.75,2.0,3,1,3,1,2,5.4,0,0,0
14.0,3,5.88,11.24,7.88,8.84,4,71.2,8,8,1,1,42.2,0,9.0,2,1,0,2,3,3,1,24.1,1,2.37,3.0,3,3,3,0,1,6.2,0,0,0
13.0,1,8.86,13.22,7.94,9.81,3,84.1,6,5,1,1,73.9,0,8.2,1,2,0,0,2,1,1,10.8,1,0.4,3.0,3,3,2,1,2,5.3,0,0,0
16.0,5,15.16,13.79,17.98,14.76,1,87.1,0,4,1,0,86.5,0,10.9,0,0,1,3,2,1,0,20.8,1,7.21,4.0,2,3,2,0,2,8.8,0,0,0
12.0,1,5.1,10.54,11.55,10.05,2,77.7,5,8,1,2,44.5,0,6.0,1,2,0,0,3,1,0,20.8,1,2.29,2.0,3,4,3,0,1,6.8,0,1,0
13.0,1,5.74,12.37,9.59,9.27,3,71.7,4,6,1,1,55.5,1,8.1,1,1,0,5,1,3,0,20.8,1,0.1,1.0,4,3,2,0,2,6.5,0,0,0
16.0,5,8.68,11.53,11.26,10.75,4,85.9,8,5,1,1,66.0,0,6.5,2,1,3,1,1,1,0,20.8,1,2.39,3.0,3,2,4,1,2,5.4,0,0,0
14.0,2,11.54,6.85,9.46,9.09,1,60.9,7,11,0,1,24.4,0,3.1,2,0,3,1,3,0,0,20.8,1,2.75,3.0,5,1,2,1,1,5.9,0,0,0
17.0,5,12.68,9.06,12.76,10.59,0,63.4,3,4,1,2,64.6,0,6.4,1,1,1,2,3,1,0,20.8,1,0.46,3.0,5,3,2,0,2,5.4,0,0,1
16.0,4,15.83,15.66,19.96,16.93,0,88.8,5,8,1,0,71.4,0,14.8,0,0,1,2,0,3,0,20.8,0,4.86,3.0,4,4,3,0,0,7.9,0,1,0
13.0,2,14.57,9.6,11.29,11.59,3,72.2,10,5,0,2,46.9,0,9.3,2,0,0,0,3,0,0,20.8,1,2.52,2.0,3,3,3,1,3,5.5,0,0,0
14.0,3,8.83,7.47,8.31,8.46,5,56.1,7,10,1,1,34.3,1,3.7,2,0,0,1,3,3,1,15.9,1,4.78,2.0,5,1,2,1,1,8.0,0,0,1
14.0,2,6.58,12.52,7.05,8.66,5,64.3,13,4,0,1,67.8,0,0.5,2,1,0,1,1,1,1,22.2,1,0.1,2.0,4,2,3,1,2,5.0,0,0,0
16.0,5,10.46,14.47,13.21,13.61,1,70.6,3,6,2,2,46.7,0,8.5,1,0,0,3,2,1,0,20.8,1,2.29,3.0,2,2,4,0,0,7.3,0,1,0
14.0,3,15.37,10.97,18.03,15.19,3,86.5,2,3,2,2,85.5,0,8.4,1,1,2,5,3,1,0,20.8,1,0.1,4.0,2,3,2,1,0,6.3,1,0,1
13.0,2,6.01,5.46,7.63,6.99,1,71.6,7,7,0,1,64.2,0,4.9,2,1,3,2,3,3,0,20.8,1,0.1,2.0,3,2,3,1,2,7.0,1,0,1
6.0,1,7.97,3.38,10.77,7.16,3,55.9,4,15,0,1,27.5,1,7.0,2,1,0,0,1,0,1,25.4,1,0.81,1.0,4,3,3,0,2,5.9,1,1,0
14.0,3,15.38,14.29,16.38,15.74,1,91.1,5,0,3,2,80.0,0,2.8,1,0,2,2,2,1,1,23.3,0,0.6,3.0,4,4,4,1,3,7.3,0,0,0
16.0,5,6.24,6.75,3.97,6.4,3,67.3,9,8,0,1,49.1,1,6.5,2,1,0,2,1,0,0,20.8,1,1.86,3.0,5,2,2,1,2,6.0,0,0,0
16.0,4,14.36,18.21,16.72,17.03,0,71.8,5,2,2,2,67.3,0,14.7,0,0,3,2,2,3,0,20.8,0,6.47,3.0,3,4,4,1,2,4.7,0,0,0
14.0,2,15.67,16.87,7.31,14.38,1,85.3,2,4,2,0,65.6,0,8.5,0,0,3,2,2,1,0,20.8,0,6.45,3.0,4,3,2,1,2,6.5,0,1,0
14.0,2,11.43,9.85,12.96,11.59,5,84.4,7,2,0,2,63.3,1,10.9,1,1,0,0,2,3,1,17.4,0,0.26,2.0,2,2,4,0,2,8.4,0,1,1
14.0,2,14.56,15.58,12.49,16.33,0,95.2,0,1,2,0,79.5,0,11.6,0,1,3,1,0,1,0,20.8,1,0.62,4.0,4,4,3,0,2,5.5,0,0,0
16.0,5,13.41,6.86,10.18,9.56,2,75.6,5,4,1,1,42.3,1,10.2,1,0,3,2,1,3,0,20.8,0,0.95,3.0,3,1,4,0,1,6.8,1,0,0
13.0,1,12.98,15.75,12.31,13.51,1,88.2,6,10,1,1,31.5,0,8.3,1,0,0,2,3,1,0,20.8,1,2.83,3.0,4,3,3,1,0,7.5,0,0,0
15.0,3,10.83,12.2,10.85,10.45,4,66.7,3,8,3,2,58.2,0,10.5,1,1,2,0,2,1,0,20.8,1,2.81,3.0,4,4,3,1,1,8.1,1,0,0
14.0,2,11.05,18.68,17.68,16.14,3,93.2,4,6,1,1,70.6,0,8.6,0,1,2,2,3,1,0,20.8,1,7.46,2.0,2,5,2,0,0,5.4,0,1,0
14.0,3,10.24,13.52,12.21,11.88,3,74.0,5,6,1,1,60.0,0,1.6,1,0,0,1,3,3,0,20.8,1,1.97,3.0,3,4,3,1,2,8.8,1,1,0
15.0,3,20.0,20.0,19.58,20.0,0,94.7,0,0,1,2,99.2,0,8.8,0,1,0,1,2,1,0,20.8,0,0.1,5.0,2,5,2,0,0,8.2,0,1,1
17.0,5,13.44,9.31,11.54,12.39,1,79.6,5,6,0,1,75.0,1,3.9,2,0,0,3,1,1,0,20.8,1,0.31,2.0,5,2,3,0,1,7.8,1,0,0
14.0,3,6.91,9.86,8.35,8.95,2,73.0,6,3,0,2,69.6,0,12.0,1,0,3,2,1,1,0,20.8,1,4.42,2.0,5,3,3,1,1,8.2,0,0,0
14.0,2,7.76,8.85,10.44,8.93,6,56.9,6,7,0,1,56.8,0,4.3,2,1,0,2,1,3,0,20.8,1,0.8,2.0,3,1,3,1,1,6.4,0,0,0
17.0,5,5.5,5.39,7.85,6.32,5,73.5,13,8,0,1,53.1,0,4.6,2,1,1,1,4,0,1,12.1,1,1.99,2.0,5,2,2,0,1,4.9,0,1,0
14.0,3,14.54,16.49,13.64,14.58,3,83.1,2,3,2,0,69.6,0,12.5,0,1,1,0,2,3,0,20.8,0,0.1,4.0,2,4,3,0,0,5.9,0,0,0
16.0,5,9.29,12.47,14.31,12.38,2,77.9,8,2,2,1,48.6,1,8.6,1,0,0,2,3,1,0,20.8,1,0.78,4.0,4,2,2,1,2,5.4,0,0,1
15.0,4,10.43,9.69,16.18,11.75,3,87.1,1,2,2,2,81.1,1,10.0,0,0,0,4,3,1,0,20.8,1,2.33,3.0,2,4,3,0,2,6.9,0,0,1
14.0,2,15.26,14.06,14.26,15.37,2,70.2,3,5,0,2,41.4,0,2.4,1,0,0,1,2,1,0,20.8,0,2.98,4.0,2,2,4,0,2,7.8,0,1,0
15.0,3,20.0,16.31,13.72,17.06,0,91.2,2,1,3,2,89.5,0,12.9,0,0,3,1,2,0,0,20.8,1,0.13,4.0,3,4,4,1,0,7.0,0,0,0
13.0,2,16.55,15.19,12.75,14.6,0,75.1,1,2,2,0,83.9,0,8.1,0,0,0,1,4,1,0,20.8,1,0.12,2.0,2,3,4,0,3,6.1,0,1,0
